cid	len
54221	186
54506	310
54840	259
54932	196
55512	198
55626	181
55671	170
55720	257
55722	205
55740	201
56252	212
57977	161
58772	180
58773	175
58804	177
60083	182
60300	258
60316	193
60435	346
60507	210
60887	168
60893	182
61209	199
61268	199
61767	193
63428	207
63769	199
64994	291
65401	172
65423	289
65517	306
65544	267
66357	238
66469	177
66542	311
66560	175
67178	178
67281	185
70064	174
71057	187
71756	203
72578	180
74085	181
74197	253
74242	317
74330	183
74335	763
74423	178
74460	309
74466	339
74507	249
74813	295
74865	289
76603	177
76656	350
76672	207
77106	264
77314	199
77431	174
78489	178
78519	204
78873	220
79858	588
80297	222
80985	276
81490	153
81517	239
82216	259
84834	287
85274	181
85804	191
87731	180
89160	179
90158	180
90562	176
90792	229
90843	187
90954	230
91230	243
91243	266
91382	234
91771	189
92788	186
92802	183
92875	505
92945	412
93173	265
93186	274
94001	182
94018	409
94481	329
94695	177
94821	393
94962	237
95143	222
95144	187
95222	205
95321	175
95481	455
95709	257
95796	227
95886	315
96106	457
96258	178
97110	175
98110	387
98471	301
98490	253
98787	242
98915	177
99167	208
99990	169
100014	188
100249	221
101504	184
101593	248
101765	232
101831	215
103574	190
103864	232
103903	310
105184	188
105298	217
105691	228
106194	211
106206	220
106222	281
106388	179
106450	202
107336	259
108616	163
108668	283
108672	239
108967	180
109329	244
109442	190
109537	180
109613	342
110573	224
110960	186
111174	185
111644	242
112089	208
112197	378
112312	174
112366	184
112685	174
113156	259
113339	237
113372	173
114730	303
114877	211
114907	246
114951	232
115023	210
115025	266
115608	196
115642	284
115706	183
116544	264
117121	265
117192	269
117230	203
117249	212
117284	174
117304	216
117359	202
117396	266
117595	193
117813	193
118314	220
118598	187
118835	176
119040	187
119079	198
119164	553
119217	223
119435	184
119457	318
119471	175
119555	376
119656	210
120031	183
121011	178
121048	202
121073	193
121693	187
121912	190
122460	221
122617	242
122656	217
122899	433
123024	309
124480	175
124857	225
124890	179
124894	397
124981	165
125570	399
125572	175
125596	187
125638	184
125648	180
125662	202
125799	220
125817	186
126609	403
126659	193
127238	199
127381	226
127449	193
127477	422
127660	220
127710	222
127764	333
128541	193
128726	136
128815	231
129477	172
130986	264
131049	201
131318	213
131646	191
131654	174
131667	201
132115	181
132193	226
133286	219
133448	224
133463	165
133818	184
134777	270
134823	180
134824	183
134856	187
135015	184
135125	249
135322	211
135415	179
135564	193
136047	183
136064	502
136389	192
137413	177
137920	179
139319	221
139498	161
139935	186
140051	354
140311	174
140498	201
140818	371
141602	262
141621	361
141840	168
142169	187
142192	198
142238	402
142616	246
142627	174
142654	168
142718	216
142841	281
143137	150
143326	165
143361	180
143365	262
143456	297
143620	270
143626	504
144269	186
144429	205
144469	190
144493	238
145563	220
145598	199
145803	187
145923	408
145964	220
146071	175
146673	251
146873	237
147574	340
147991	179
148145	319
148152	86
148244	200
148315	205
148478	225
148818	310
149129	184
149330	221
149462	225
149685	195
149977	250
150512	175
152119	284
152930	177
153008	175
153082	193
153226	225
153305	227
153312	260
153315	174
153347	153
153360	187
153643	199
153810	288
155119	232
155255	177
155269	180
155352	254
155369	421
155383	264
155708	710
155717	171
155739	176
155792	187
155795	245
155803	271
155973	183
155986	275
156096	174
156344	193
156421	126
156730	162
156795	594
157630	201
157899	205
158100	271
158220	186
158762	167
158877	209
158925	316
158945	190
159040	171
159062	174
159101	175
159111	186
159131	302
159188	193
159971	177
159996	316
160131	390
160877	180
166092	218
166657	247
166972	190
167742	240
168157	222
168448	189
168593	229
168600	231
168763	231
168781	247
169100	174
169237	242
169557	266
170188	324
170686	198
171857	167
172040	170
172779	149
173221	215
176495	367
176596	223
176692	210
177509	190
178586	190
178640	196
179159	181
180805	261
180949	187
180960	251
181697	320
181705	143
183356	181
183894	365
185002	180
186279	211
186325	277
186368	220
186717	214
186835	274
188270	152
188701	181
189436	184
189460	191
189630	156
189884	225
189906	243
190271	195
190272	196
190288	240
190294	200
190434	178
190657	316
193444	175
195989	180
198694	192
198703	186
198782	181
198789	255
199296	203
199765	176
199913	170
203830	214
203978	211
203996	303
204121	227
204140	165
204391	201
204410	379
204643	181
204703	222
204858	250
205827	231
206020	323
206046	150
206054	233
206342	190
206371	181
206542	187
206600	185
206617	204
207171	261
207746	227
208048	219
209426	199
210067	307
210324	227
210783	465
212710	237
213176	180
213452	203
215234	385
215910	291
218063	208
218345	143
218366	247
218496	186
218653	168
218685	204
219288	195
219571	421
220779	174
221698	325
221739	184
222005	156
222023	318
222178	181
223584	178
224036	213
224104	221
224175	248
225249	252
225324	168
225430	223
225574	250
226014	165
226207	294
226405	175
227322	181
227654	208
227762	311
228144	319
228387	394
228582	215
228707	289
228864	190
228924	249
228930	203
228964	196
229102	209
229262	327
229632	420
229655	181
229669	208
229821	280
229844	220
230076	186
230109	181
230593	366
230808	189
231231	406
231494	216
231562	289
231648	181
231699	189
231716	192
231724	283
231755	226
231867	196
232490	222
233046	203
233841	214
234187	273
234357	187
234585	191
234587	180
234714	274
234794	184
234827	191
235212	189
235296	201
236317	538
237628	213
237948	186
237969	192
238102	236
238134	491
238851	312
239041	94
239103	239
239251	186
239286	186
240660	209
240676	274
240701	192
240713	214
241498	334
241512	277
241518	199
241534	242
241547	286
241648	229
241762	260
241784	223
241887	341
241900	174
242074	181
242156	204
242380	181
242617	186
242664	199
244611	216
245073	197
245316	189
245673	358
245727	187
245773	194
245823	183
245936	178
246140	229
246177	252
246224	423
246354	259
246388	225
246411	191
246500	317
246774	258
246943	199
248178	204
248298	296
248436	227
249091	186
249385	191
249654	184
250034	635
250990	65
252025	395
252752	196
253079	196
253288	149
253312	187
253826	199
254051	502
254329	192
254369	311
255051	185
255231	174
255238	180
255852	204
256657	283
256989	232
257187	187
257911	208
259367	190
259923	214
260899	194
265544	186
266052	208
266693	324
266986	179
268517	205
268691	184
270697	221
271991	193
272301	205
272667	217
272879	168
272957	198
273079	624
274948	187
275283	177
275666	108
275713	192
275751	200
275774	187
276045	182
276244	236
276288	242
276296	219
276412	324
276477	175
276524	206
276676	566
276711	256
277012	205
277621	225
278133	242
278741	201
278862	200
279913	238
279993	263
280324	253
281392	321
282867	187
283209	187
283258	158
283326	196
283397	200
283674	237
283738	162
283781	314
283889	400
283921	252
284094	459
284115	177
284243	187
284471	223
284986	186
284997	220
285012	152
285055	190
285376	293
285420	334
286260	300
288428	213
291054	206
291171	159
291663	231
292108	223
293333	265
293701	193
293757	176
296629	181
296675	228
296682	216
296840	186
297070	183
297187	191
297748	267
299803	202
299872	215
300005	162
300009	289
300999	239
301567	248
301714	289
302545	162
303008	231
303714	351
305323	184
306113	294
306262	242
306363	173
306467	168
306704	190
308021	172
308030	202
308232	167
308455	185
308659	189
310689	161
311673	194
311999	191
312164	187
312183	226
312832	196
312986	233
313197	247
313364	211
313476	239
313678	292
313794	294
313930	178
314110	268
314218	348
318647	347
318949	312
319713	176
319788	232
319911	177
320211	463
321868	211
322502	174
323247	183
323280	184
327505	186
327644	175
327976	205
328328	185
328337	176
329953	294
330074	247
330440	219
330540	210
330736	146
330737	210
330899	220
330910	187
331061	158
331179	152
331473	261
331571	398
331646	233
331811	177
331966	237
331993	191
332341	252
332430	173
333036	165
333183	245
333357	390
334787	184
334851	377
335227	207
335291	187
337622	180
338309	232
339131	174
339209	174
339542	251
340195	184
340577	237
340578	310
341147	177
341371	178
341778	149
342246	262
343613	278
343821	212
343994	199
344020	340
344103	189
344455	168
345440	175
346822	249
346829	387
346873	217
347466	170
347695	211
347697	196
348134	250
348543	177
348582	220
348731	221
348848	208
349687	227
351430	177
352240	686
352698	209
352784	283
352836	241
353718	252
356201	180
357318	193
357791	380
357794	187
358443	494
358601	193
359214	180
359350	217
359746	198
359770	216
360518	205
360721	347
361053	278
361096	253
361216	181
361267	211
361674	212
362111	281
362149	262
362275	187
362513	232
362579	187
363175	592
365528	392
365743	209
366186	186
366884	171
367215	180
367363	172
367703	181
368722	175
370749	168
372839	158
375407	225
378314	178
379479	183
379491	228
379638	206
379711	188
379973	181
380002	226
380008	190
380065	184
380163	181
380682	278
381919	246
382033	365
382467	220
382619	187
382697	219
383483	248
384882	196
384957	173
385814	504
389211	182
389725	171
390015	231
391466	202
391754	274
391967	191
392012	448
392061	182
392718	230
392873	161
392922	233
393290	203
393659	174
393759	190
393884	221
393907	196
394210	202
395037	331
395215	177
395390	208
395699	184
395738	275
395821	548
398739	236
398760	175
398820	291
398825	212
398837	242
398886	213
398938	221
399487	186
399513	219
399753	202
400128	365
400279	211
400634	254
401004	217
402701	182
402875	180
403884	681
403980	405
404483	180
404896	172
407440	187
408554	347
409359	242
409652	190
409793	332
410082	187
410083	289
410379	269
410517	770
411017	152
411774	244
412515	214
412762	312
413079	248
413171	233
413295	178
413391	195
413838	194
414149	221
414304	225
414557	236
414733	212
414784	390
415187	261
415775	186
415867	350
415989	351
416363	193
416746	193
416781	394
416949	167
417594	190
417652	183
417765	193
417836	247
418005	364
418171	185
418184	188
418259	296
418279	209
418428	226
418529	177
419118	256
419976	204
420589	225
421835	193
422820	297
422885	226
423397	189
424163	622
424406	180
424446	212
424578	193
424775	180
424876	198
425342	346
426264	192
426483	183
426693	508
426960	190
427140	259
427349	379
427446	178
427646	188
427949	177
428158	181
428188	180
428211	223
428239	195
428266	237
428337	317
428374	224
428403	229
428641	329
428687	207
428858	175
428917	180
429648	263
429994	169
430288	203
430310	268
430315	234
430447	166
430857	202
430860	176
430972	186
431112	323
431505	294
431703	537
432203	257
432582	187
432782	181
432936	171
433310	296
434046	176
434236	414
434398	558
434501	175
434737	265
435241	180
435343	175
435673	300
435675	194
436016	201
436758	194
438306	214
439082	180
439634	228
439965	202
440102	273
440723	218
440827	206
441583	186
441633	179
441733	186
441740	199
441907	219
442385	155
443159	293
443415	181
443468	172
444322	183
444743	177
447078	293
447127	190
447324	293
449035	576
449222	170
449696	185
449929	357
450317	186
450790	188
451079	187
451358	458
451531	176
452056	185
452750	690
453026	345
453037	342
453109	199
453154	253
453164	208
453263	201
453398	257
453469	180
453485	168
453609	182
453904	164
453928	236
453939	219
454594	195
454667	176
454795	313
454814	244
454831	177
454935	185
456229	182
458138	256
459089	181
459109	188
459111	203
459472	226
459613	183
459872	271
459915	224
459933	178
460042	182
460442	193
460577	174
460691	222
460903	179
461150	199
461757	353
462435	220
462736	199
462899	169
463376	183
463747	232
463967	180
464511	203
464638	193
464714	206
464721	276
464937	174
465330	404
465962	253
466221	185
466511	206
466634	246
466967	217
467166	167
467445	205
467936	221
468157	336
468759	215
468944	176
468984	289
469954	197
470775	203
471483	217
471943	314
472011	211
472217	274
473288	194
473317	211
473322	180
473377	249
473383	177
473430	181
473433	169
473492	175
473558	333
473600	271
473607	193
473693	190
473732	311
473771	174
473837	215
473853	189
473854	328
473881	208
473888	188
473889	322
473984	179
474344	186
474367	265
474409	313
474490	178
474693	187
474735	216
474870	221
475177	271
475330	175
475447	193
475492	205
475501	173
475580	143
475588	182
475768	193
476654	274
476656	243
476674	165
476915	352
477216	285
477559	179
477795	249
477872	204
478199	198
478213	179
478570	173
478703	223
478735	193
478757	155
478824	233
478929	181
479042	211
479102	372
479154	447
479461	204
479507	248
479584	248
479645	266
479648	201
479674	208
479933	302
480012	294
480015	430
480060	224
480089	185
480189	291
480200	233
480277	285
480313	192
480353	233
480453	585
480546	219
480593	190
480712	445
480969	282
481187	182
481204	172
481261	364
481451	189
481701	187
481719	206
481967	173
482029	334
482119	174
482185	201
482417	238
482454	239
482551	187
482835	221
482903	208
483005	256
483130	187
483152	374
483921	257
483979	287
484084	186
484230	199
484301	174
484392	212
484452	278
484486	221
484674	459
485003	433
485350	204
485446	199
485494	400
485495	595
485567	233
485622	175
485806	118
485883	232
485992	211
486526	258
486979	237
487049	201
487145	215
487306	176
487336	193
487537	187
487572	195
487819	289
488199	150
488403	260
488608	141
488620	231
488857	203
488920	486
488951	177
489425	204
489636	187
489646	339
489721	189
489860	184
489866	189
490013	181
490025	212
490280	183
490378	225
490424	253
490987	370
491010	470
491383	401
491787	229
491882	324
492131	174
492163	330
492681	207
492927	274
492932	289
492962	236
493359	180
493689	238
493855	214
493971	194
494008	423
494094	165
494145	261
494581	157
494623	247
495119	221
495215	242
495251	187
496133	171
498394	238
498619	187
498846	305
498924	181
499158	187
499626	186
499757	186
499829	191
500767	200
501084	249
501109	227
501127	257
501130	124
501572	311
501606	201
502101	318
502204	269
502242	139
502267	222
502354	202
502502	231
502567	201
502848	187
502920	174
502971	187
503463	183
503497	156
503527	175
503781	207
503967	196
503976	174
504003	174
504078	242
504227	381
505053	181
505724	193
505762	190
506255	193
506386	214
506473	228
506851	207
506956	511
507736	291
508005	355
508511	188
508998	388
509045	252
509838	204
509987	199
510130	150
510148	199
510192	219
510251	166
510347	288
510892	214
511634	181
511933	256
512152	187
512418	430
514935	180
515046	173
515873	174
516058	203
516337	188
517180	255
517577	171
517665	194
518120	156
518224	185
518313	187
519176	189
519276	198
519572	261
519623	226
519686	236
519774	193
519808	180
519852	284
520081	257
520090	232
520104	274
520274	236
520495	174
520631	174
520641	556
520841	201
520917	175
520996	190
521069	204
521188	189
521194	223
521485	179
521541	220
521814	175
522085	257
522105	226
522123	207
522265	234
522355	293
523240	187
524071	212
524191	203
524523	183
524717	199
524928	210
525430	193
525482	156
525540	190
525662	431
525691	287
526043	290
526141	194
526994	265
527000	173
527478	202
527481	181
527790	207
527811	298
527861	211
527876	378
528069	498
528156	174
528165	187
528263	257
528293	173
528344	175
528412	224
528554	390
528616	787
528667	223
528781	206
528859	244
529001	232
529073	166
529145	252
529280	272
529536	172
529846	201
529946	267
530068	175
530130	179
530137	222
530228	231
530557	208
530653	310
530791	467
531091	176
531172	224
531300	199
531721	222
531745	179
531953	316
532331	167
532465	226
532469	180
532513	186
532530	230
532786	233
532834	184
533026	222
533097	256
533403	174
533534	181
533582	205
534326	174
534562	171
534700	226
534706	218
534729	294
534796	320
534909	250
535060	207
535714	200
535776	278
535969	187
536334	271
537270	232
537493	174
537506	200
537934	206
538119	282
538909	180
538960	173
539543	193
539552	199
539595	175
540265	189
540509	415
540664	177
540878	187
541290	190
541293	181
541762	756
542135	341
542682	354
542711	244
543569	202
543832	195
544019	212
544074	227
544099	175
544111	227
544234	408
544337	299
544459	396
544465	224
545045	187
545354	199
545760	199
546042	238
546128	271
546531	319
546851	147
547468	297
548038	236
548098	180
548736	233
548815	376
549134	178
549278	205
549586	173
549766	286
549773	310
549928	327
550117	201
550181	183
550324	572
550459	180
550460	174
550589	235
550659	217
550826	211
550926	177
550942	181
550948	128
551127	241
551249	169
551402	475
551561	146
551762	244
552118	202
552853	175
553096	192
553270	187
553413	206
553714	228
553765	359
554396	220
554682	366
554929	212
555459	233
555527	181
555578	200
555626	174
555691	338
555920	187
556019	238
556663	245
556947	227
557005	169
557085	238
557277	243
557954	393
558304	481
558552	236
558704	165
559284	167
559330	196
559425	360
559693	210
559823	105
559880	497
559968	222
559971	234
559979	199
560094	463
560306	262
560395	196
560399	240
560424	190
560472	144
560478	447
560585	189
560656	186
561026	209
561055	175
561112	181
561143	251
561486	248
561922	194
561991	242
562153	175
562295	319
562578	490
562670	187
562915	182
563517	214
564039	289
564581	198
564928	184
565423	353
565960	330
566086	262
566272	181
566736	186
567436	176
567681	238
567816	167
568089	162
568409	295
568414	216
568498	261
568721	215
568836	226
569061	268
569098	291
569119	191
569145	206
569171	230
569255	196
569304	196
569335	313
569338	331
569418	212
569467	261
569524	311
569536	190
569863	439
570058	323
570272	204
570278	200
570292	257
570356	183
570671	184
570877	155
570975	188
571257	310
571296	183
571437	202
572618	249
572649	232
572773	185
572878	207
573123	465
573226	206
573609	225
573669	231
573797	182
574203	167
574322	298
574348	222
574546	461
574957	171
575037	139
575060	187
575198	197
575295	217
575382	226
575512	233
575558	187
575736	198
577192	220
577463	269
577477	240
578891	185
579255	186
579533	360
581060	194
584292	187
584378	218
584479	178
584522	186
584798	193
584801	191
584806	226
585305	213
585419	418
585901	217
586304	171
588553	649
588736	201
588752	202
589676	193
590175	183
590201	216
590524	238
590579	164
591761	756
591915	272
592434	333
592539	181
593065	252
593620	181
593651	348
593690	428
593773	410
593790	211
593981	171
594064	300
594072	181
594174	168
594943	196
594972	584
595114	374
595115	1028
595260	190
595451	205
595971	434
596080	183
596186	530
596227	190
597923	319
598508	222
598852	287
599072	257
599625	443
600066	175
600337	174
601923	205
602613	214
602617	169
603261	252
603918	193
605036	173
605070	196
605398	212
605431	187
605779	399
605833	765
606078	184
606180	180
606192	319
607002	248
607405	180
607490	284
607539	208
607541	466
608083	181
608575	187
608640	360
609350	210
609382	244
609453	347
609942	243
610067	196
610278	218
610328	176
610724	303
610833	175
611178	195
611203	195
611315	173
611375	437
611595	235
611731	191
611786	225
611898	283
612790	223
613494	415
614101	180
614258	186
614717	415
615260	183
615957	288
616202	161
617208	191
617217	178
617238	218
618985	193
618995	252
619072	188
619946	184
620541	233
620607	167
620748	288
620792	188
620881	175
620904	334
620979	224
621423	193
621449	205
622346	174
622449	334
622657	190
622712	341
623052	174
623156	243
623263	251
623325	496
623448	244
623790	474
623873	184
623930	180
623971	187
624205	167
624219	256
624338	222
625109	234
625138	233
625770	334
625948	235
625955	175
626017	253
626369	186
626380	186
626454	190
626458	263
626603	190
626641	182
626643	197
626644	198
626730	172
627228	298
628422	277
628484	435
628507	244
628562	184
628686	222
628734	264
628951	217
630421	241
630460	193
630656	174
630829	174
630967	236
631094	232
631249	202
631271	325
631333	433
631370	287
631394	181
631578	170
631737	174
632111	244
632336	290
632391	225
632575	214
632742	187
632858	184
632888	290
633610	332
633651	205
633806	240
634852	211
635111	187
635664	244
636537	218
636678	204
636689	243
636691	172
636730	224
637102	228
637183	360
637204	196
637327	274
638142	175
638318	278
638432	198
639033	244
639247	228
639606	214
639817	345
640281	248
640297	190
640375	197
640742	228
640880	182
641201	236
641204	271
641276	95
641719	177
642610	244
643340	241
644038	177
644334	196
644966	187
645646	239
645805	205
645858	238
646041	207
646761	215
646889	141
647050	181
647679	364
647911	188
649809	280
650411	208
650917	235
650923	335
650938	174
650987	258
651056	166
651348	200
652077	317
652081	321
652847	172
652963	192
652967	233
652976	174
653014	187
653580	231
654363	196
720900	199
720904	591
720934	322
720937	191
720939	245
720941	180
720961	204
720962	231
720973	776
720981	390
720982	209
720990	316
720995	182
720996	187
721005	413
721008	165
721011	287
721012	323
721067	375
721074	239
721107	196
721112	183
721200	202
721204	412
721209	781
721229	738
721233	323
721237	196
721249	789
721251	183
721276	462
721277	817
721315	359
721323	209
721325	361
721344	194
721347	141
721442	286
721443	186
721623	329
721673	241
721738	352
721749	397
721881	165
722017	258
722028	220
722081	638
722444	234
722534	746
722561	220
722594	1515
722615	368
722621	487
722714	168
722735	298
722742	171
722743	310
722767	169
722769	641
722778	186
722783	194
722788	267
722790	466
722843	398
722862	170
722864	265
722948	207
722956	371
723008	269
723043	264
723207	201
723266	195
723268	484
723273	182
723291	183
723307	200
723343	211
723381	198
723423	493
723432	175
723470	206
723538	176
723582	270
723590	255
723593	831
723601	1638
723631	210
723636	468
723643	221
723860	194
723887	226
723906	186
723947	281
723964	222
724060	199
724065	121
724106	251
724164	179
724167	307
724184	233
724197	419
724305	466
724334	259
724398	263
724412	531
724448	187
724465	40
724497	265
724501	225
724556	288
724557	217
724568	275
724623	257
724624	250
724636	322
724644	582
724710	216
724717	179
724742	186
724876	315
724896	1484
724900	204
724960	185
724971	204
725012	387
725024	248
725031	423
725042	187
725065	347
725096	366
725129	186
725132	393
725133	175
725147	264
725167	339
725184	441
725202	184
725218	184
725240	235
725244	285
725249	320
725263	208
725279	222
725298	336
725331	250
725352	223
725363	500
725380	143
725383	531
725441	318
725458	471
725469	216
725475	309
725499	274
725511	200
725535	264
725662	276
725678	186
725697	161
725714	164
725762	196
725769	441
725832	254
725902	443
725912	454
725930	213
725933	216
725969	388
725995	268
726011	198
726016	310
726027	730
726028	392
726031	183
726039	245
726068	440
726092	307
726100	202
726113	234
726116	274
726117	227
726123	406
726126	451
726129	177
726133	215
726138	316
726155	118
726158	230
726159	415
726176	434
726190	178
726198	153
726199	196
726224	329
726252	158
726260	531
726275	273
726287	101
726292	195
726304	603
726311	347
726372	396
726394	248
726410	276
726535	389
726537	746
726922	164
726923	159
727002	178
727013	163
727038	173
727170	181
727272	101
727287	181
727346	180
727376	322
727379	241
727394	189
727412	244
727428	66
727466	205
727492	156
727557	242
727863	232
727985	405
728012	262
728091	214
728123	195
728154	197
728164	173
728183	215
728186	335
728201	283
728216	276
728264	274
728327	459
728340	202
728366	187
728426	313
728433	223
728484	262
728504	192
729456	187
729460	248
729499	288
729502	190
729531	166
729558	304
729620	476
729753	170
730169	256
730348	579
730374	181
730388	181
730462	293
730537	361
730546	223
730554	484
730561	432
730688	203
730761	340
730770	209
730795	224
730804	180
730815	389
730979	175
730986	502
730987	297
730990	186
731010	238
731030	112
731098	173
731119	279
731124	193
731266	423
731268	190
731649	176
731712	152
731724	233
731725	276
731799	342
731804	388
731806	193
731811	183
731818	801
731819	452
731962	304
732087	224
732099	230
732172	271
732174	222
732183	247
732199	324
732200	403
732202	267
732203	180
732224	188
732228	286
732229	254
732233	184
732269	402
732285	296
732328	772
732352	171
732419	184
732438	488
732439	206
732750	298
732816	231
732817	185
732827	205
732832	228
732845	259
732896	215
732938	225
732965	251
732973	176
733069	210
733080	233
733094	536
733112	169
733123	206
733133	236
733144	594
733208	192
733225	352
733275	283
733315	343
733340	588
733363	288
733366	187
733426	232
733487	173
733490	243
733553	234
733564	307
733851	410
733853	368
734493	156
734494	230
734591	414
734657	309
734774	221
734776	304
734852	183
734988	216
734993	216
735007	274
735059	281
735125	304
735142	210
735172	206
735186	266
735591	131
735624	185
735662	187
735750	181
735987	620
736009	192
736010	244
736238	216
736268	116
736343	535
736357	267
736374	141
736376	187
736402	276
736425	184
736440	223
736447	1292
736480	184
736488	233
736523	192
736548	328
736583	229
736626	530
736660	194
736670	508
736731	339
736902	392
737265	194
737435	205
737450	174
737685	206
737982	211
738187	275
738292	194
738304	398
738353	177
738396	443
738417	412
738466	183
738467	173
738472	226
738538	484
738547	155
738584	767
738607	241
738652	230
738656	311
738702	149
738722	498
738737	202
738741	355
738754	329
738758	447
738789	188
738815	199
738829	199
738957	168
738964	174
738965	197
739031	319
739052	249
739112	269
739137	252
739171	246
739198	229
739220	159
739238	181
739239	270
739274	298
739281	635
739282	210
739302	164
739339	312
739351	226
739371	186
739392	169
739396	241
739407	573
739409	132
739435	140
739451	1292
739466	260
739468	190
739481	173
739489	238
739502	284
739523	826
739533	189
739534	171
739561	422
739616	233
739638	139
739677	302
739687	199
739723	212
739749	362
739757	162
739774	190
739835	228
739865	499
740105	181
740120	184
740141	188
740249	218
740336	175
740362	371
740411	181
740501	246
740556	219
740562	181
740747	177
740831	297
740850	259
740893	198
740894	199
740945	174
740954	175
740969	360
740975	211
740995	200
741014	244
741020	192
741042	285
741093	200
741126	295
741264	181
741303	178
741323	149
741417	186
741430	320
741498	328
741512	317
741520	601
741532	225
741599	193
741604	175
741609	239
741610	191
741614	236
741615	319
741642	278
741656	801
741680	214
741726	194
741798	195
741840	200
741862	181
741924	155
741934	270
741962	224
742001	283
742020	175
742033	178
742109	187
742115	285
742120	201
742175	378
742188	208
742253	372
742267	232
742271	181
742277	260
742279	197
742289	236
742301	410
742314	189
742342	183
742344	375
742348	293
742373	226
742436	203
742465	207
742472	342
742490	438
742495	187
742593	188
742604	187
742607	201
742610	216
742629	189
742662	293
742666	270
742667	481
742746	399
742778	240
742843	224
742853	191
742866	315
742878	313
742929	341
743009	321
743013	222
743018	429
743033	175
743082	182
743090	372
743100	139
743107	462
743114	262
743143	190
743163	452
743175	178
743315	165
743317	425
743329	232
743405	195
743423	225
743583	166
743846	327
743877	190
743879	334
743970	178
743998	170
744037	156
744187	173
744198	227
744208	276
744212	239
744218	221
744224	351
744255	217
744291	228
744292	276
744318	354
744355	178
744382	251
744395	183
744405	180
744434	543
744597	360
744609	164
744617	189
744643	242
744650	193
744744	329
744745	155
744772	334
744778	183
744947	199
744954	598
745072	172
745077	184
745093	357
745098	153
745193	260
745200	199
745210	386
745220	387
745222	123
745226	214
745228	216
745253	251
745259	177
745261	149
745265	234
745383	945
745425	671
745460	199
745777	449
746088	218
746138	146
746205	226
746254	185
746260	603
746271	215
746273	299
746277	170
746294	155
746301	416
746306	260
746340	198
746344	268
746348	197
746413	178
746435	1152
746451	220
746466	183
746499	186
746537	213
746551	229
746711	291
746800	167
746859	172
746920	164
746945	263
747069	275
747090	350
747115	293
747145	262
747229	197
747310	174
747338	217
747348	254
747357	262
747430	185
747483	152
747588	209
747597	400
747668	217
747714	199
747846	286
748146	171
748168	259
748170	193
748233	186
748284	182
748293	196
748298	281
748308	224
748328	180
748405	209
748425	206
748432	273
748475	714
748478	188
748485	164
748522	300
748537	150
748539	279
748573	204
748575	216
748580	244
748586	195
748603	224
748648	182
748657	385
748758	211
748804	208
748808	167
748821	168
748827	270
748838	175
748920	178
748938	225
748975	286
749004	200
749026	374
749042	186
749057	225
749094	305
